Years,Income Quantiles,Categories,%expenditure,total exp
2001,1,milkproducts,10.9624,58111.65
2001,1,meet/poultry/fish,5.163532,31345.21
2001,1,fruits,2.364595,13945.48
2001,1,dryfruits,1.646605,11892.36
2001,1,vegetables,4.811149,22847.44
2001,1,Condiments & Spices (Whole & Powder ),2.116325,9923.771
2001,1,"Sugar, Honey and Sugar Preparations ",4.914317,23344.63
2001,1,Non Alcoholic Beverages,1.918033,38671.71
2001,1," Readymade Food, Drinks etc. ",8.139327,12222.18
2001,1, Cereals,12.79237,59890.27
2001,1,Pulses – Split and Whole / Washed and Unwashed ,1.628678,7915.014
2001,1,Edible Oils and Fats,5.066853,24839.76
2001,1,Tea and Coffee,1.920822,9652.28
2001,1,Baked and Fried Products,0.9218873,6054.893
2001,1,Miscellaneous Food Items,1.577986,7190.36
2001,1,FUEL AND LIGHTING ,9.640534,46856.99
2001,1, Personal Care Articles,1.61144,8461.666
2001,1, Personal Care Services,0.8202738,4201.749
2001,1, Household laundry Cleaning and Paper Articles,1.792754,8481.397
2001,1, Tobacco and Chewing Products,3.190345,15017.84
2001,1,Recreation & reading,1.604803,14738.79
2001,1, Personal Transport and Travelling ,3.661494,22369.75
2001,1,Other Miscellaneous Household Expenses on Goods and Services,3.897763,24300.83
2001,1," Clothing, Clothing material and services",5.547321,28937.29
2001,1,. Footwear and repair charges,1.366741,7191.466
2001,1,Personal effects and service and repair charges,0.2269701,1346.252
2001,1, House rent and housing expenses,10.98426,60368.46
2001,1,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3604942,1876.925
2001,1, Expenditure on Medical Care,4.04749,21046.16
2001,1,"Recreational, travel & transport expenditure",0.692023,4904.953
2001,1, Educational and Professional Stationary Expenditure ,4.334274,31307.43
2001,1,Taxes & Fines and all Other Miscellaneous Expenditure ,3.574186,22750.54
2001,2,milkproducts,10.34915,51608.77
2001,2,meet/poultry/fish,5.01175,26948.93
2001,2,fruits,2.16273,11431.42
2001,2,dryfruits,1.023315,6445.224
2001,2,vegetables,4.836508,22502.24
2001,2,Condiments & Spices (Whole & Powder ),2.136946,9904.132
2001,2,"Sugar, Honey and Sugar Preparations ",5.023942,23780.72
2001,2,Non Alcoholic Beverages,1.705535,32116.67
2001,2," Readymade Food, Drinks etc. ",6.582556,10120.85
2001,2, Cereals,13.15182,60895.43
2001,2,Pulses – Split and Whole / Washed and Unwashed ,1.658084,7792.298
2001,2,Edible Oils and Fats,5.210911,24700.68
2001,2,Tea and Coffee,1.982416,9642.224
